species,sp code,block,treatment,date,obs period,Sowing group,bout,obs day,seed,seedling
Astrocaryum murumuru,astrmu,3,OPEN,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,8,CCA,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,8,CS,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,8,MCH,2000-05-15,2000-05-15,1,7,111,1,0
Astrocaryum murumuru,astrmu,8,MSH,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,8,OPEN,2000-05-15,2000-05-15,1,7,111,1,0
Astrocaryum murumuru,astrmu,12,CCA,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,12,CS,2000-05-15,2000-05-15,1,7,111,NA,NA
Astrocaryum murumuru,astrmu,12,MCH,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,12,MSH,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,12,OPEN,2000-05-15,2000-05-15,1,7,111,4,0
Astrocaryum murumuru,astrmu,35,CCA,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,35,CS,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,35,MCH,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,35,MSH,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,35,OPEN,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,50,CCA,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,50,CS,2000-05-15,2000-05-15,1,7,111,2,0
Astrocaryum murumuru,astrmu,50,MCH,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,50,MSH,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,50,OPEN,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,52,CCA,2000-05-15,2000-05-15,1,7,111,5,0
Astrocaryum murumuru,astrmu,52,CS,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,52,MCH,2000-05-15,2000-05-15,1,7,111,4,0
Astrocaryum murumuru,astrmu,52,MSH,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,52,OPEN,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,53,CCA,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,53,CS,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,53,MCH,2000-05-15,2000-05-15,1,7,111,1,0
Astrocaryum murumuru,astrmu,53,MSH,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,53,OPEN,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,Cadle,CCA,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,Cadle,CS,2000-05-15,2000-05-15,1,7,111,1,0
Astrocaryum murumuru,astrmu,Cadle,MCH,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,Cadle,MSH,2000-05-15,2000-05-15,1,7,111,6,0
Astrocaryum murumuru,astrmu,Cadle,OPEN,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,3,CCA,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,3,CS,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,3,MCH,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,3,MSH,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,3,OPEN,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,8,CCA,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,8,CS,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,8,MCH,2000-06-15,2000-06-15,1,8,142,1,0
Astrocaryum murumuru,astrmu,8,MSH,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,8,OPEN,2000-06-15,2000-06-15,1,8,142,1,0
Astrocaryum murumuru,astrmu,12,CCA,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,12,CS,2000-06-15,2000-06-15,1,8,142,NA,NA
Astrocaryum murumuru,astrmu,12,MCH,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,12,MSH,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,12,OPEN,2000-06-15,2000-06-15,1,8,142,4,0
Astrocaryum murumuru,astrmu,35,CCA,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,35,CS,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,35,MCH,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,35,MSH,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,35,OPEN,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,50,CCA,2000-06-15,2000-06-15,1,8,142,4,0
Astrocaryum murumuru,astrmu,50,CS,2000-06-15,2000-06-15,1,8,142,2,0
Astrocaryum murumuru,astrmu,50,MCH,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,50,MSH,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,50,OPEN,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,52,CCA,2000-06-15,2000-06-15,1,8,142,5,0
Astrocaryum murumuru,astrmu,52,CS,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,52,MCH,2000-06-15,2000-06-15,1,8,142,4,0
Astrocaryum murumuru,astrmu,52,MSH,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,52,OPEN,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,53,CCA,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,53,CS,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,53,MCH,2000-06-15,2000-06-15,1,8,142,1,0
Astrocaryum murumuru,astrmu,53,MSH,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,53,OPEN,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,Cadle,CCA,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,Cadle,CS,2000-06-15,2000-06-15,1,8,142,1,0
Astrocaryum murumuru,astrmu,Cadle,MCH,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,Cadle,MSH,2000-06-15,2000-06-15,1,8,142,6,0
Astrocaryum murumuru,astrmu,Cadle,OPEN,2000-06-15,2000-06-15,1,8,142,0,0
Astrocaryum murumuru,astrmu,3,CCA,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,3,CS,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,3,MCH,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,3,MSH,2000-07-28,2000-07-28,1,9,185,5,0
Astrocaryum murumuru,astrmu,3,OPEN,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,8,CCA,2000-07-28,2000-07-28,1,9,185,1,0
Astrocaryum murumuru,astrmu,8,CS,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,8,MCH,2000-07-28,2000-07-28,1,9,185,1,0
Astrocaryum murumuru,astrmu,8,MSH,2000-07-28,2000-07-28,1,9,185,5,1
Astrocaryum murumuru,astrmu,8,OPEN,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,12,CCA,2000-07-28,2000-07-28,1,9,185,6,0
Astrocaryum murumuru,astrmu,12,CS,2000-07-28,2000-07-28,1,9,185,NA,NA
Astrocaryum murumuru,astrmu,12,MCH,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,12,MSH,2000-07-28,2000-07-28,1,9,185,5,1
Astrocaryum murumuru,astrmu,12,OPEN,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,35,CCA,2000-07-28,2000-07-28,1,9,185,5,0
Astrocaryum murumuru,astrmu,35,CS,2000-07-28,2000-07-28,1,9,185,2,0
Astrocaryum murumuru,astrmu,35,MCH,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,35,MSH,2000-07-28,2000-07-28,1,9,185,4,0
Astrocaryum murumuru,astrmu,35,OPEN,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,50,CCA,2000-07-28,2000-07-28,1,9,185,1,0
Astrocaryum murumuru,astrmu,50,CS,2000-07-28,2000-07-28,1,9,185,2,0
Astrocaryum murumuru,astrmu,50,MCH,2000-07-28,2000-07-28,1,9,185,6,0
Astrocaryum murumuru,astrmu,50,MSH,2000-07-28,2000-07-28,1,9,185,6,0
Astrocaryum murumuru,astrmu,50,OPEN,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,52,CCA,2000-07-28,2000-07-28,1,9,185,5,0
Astrocaryum murumuru,astrmu,52,CS,2000-07-28,2000-07-28,1,9,185,6,0
Astrocaryum murumuru,astrmu,52,MCH,2000-07-28,2000-07-28,1,9,185,2,0
Astrocaryum murumuru,astrmu,52,MSH,2000-07-28,2000-07-28,1,9,185,5,0
Astrocaryum murumuru,astrmu,52,OPEN,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,53,CCA,2000-07-28,2000-07-28,1,9,185,1,0
Astrocaryum murumuru,astrmu,53,CS,2000-07-28,2000-07-28,1,9,185,2,0
Astrocaryum murumuru,astrmu,53,MCH,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,53,MSH,2000-07-28,2000-07-28,1,9,185,4,1
Astrocaryum murumuru,astrmu,53,OPEN,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,Cadle,CCA,2000-07-28,2000-07-28,1,9,185,6,0
Astrocaryum murumuru,astrmu,Cadle,CS,2000-07-28,2000-07-28,1,9,185,1,0
Astrocaryum murumuru,astrmu,Cadle,MCH,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,Cadle,MSH,2000-07-28,2000-07-28,1,9,185,6,0
Astrocaryum murumuru,astrmu,Cadle,OPEN,2000-07-28,2000-07-28,1,9,185,0,0
Astrocaryum murumuru,astrmu,3,CCA,2000-08-26,2000-08-26,1,10,214,0,0
Astrocaryum murumuru,astrmu,3,CS,2000-08-26,2000-08-26,1,10,214,0,0
Astrocaryum murumuru,astrmu,3,MCH,2000-08-26,2000-08-26,1,10,214,0,0
Astrocaryum murumuru,astrmu,3,MSH,2000-08-26,2000-08-26,1,10,214,5,0
Astrocaryum murumuru,astrmu,3,OPEN,2000-08-26,2000-08-26,1,10,214,0,0
Astrocaryum murumuru,astrmu,8,CCA,2000-08-26,2000-08-26,1,10,214,1,0
Astrocaryum murumuru,astrmu,8,CS,2000-08-26,2000-08-26,1,10,214,0,0
Astrocaryum murumuru,astrmu,8,MCH,2000-08-26,2000-08-26,1,10,214,1,0
Astrocaryum murumuru,astrmu,8,MSH,2000-08-26,2000-08-26,1,10,214,5,1
Astrocaryum murumuru,astrmu,8,OPEN,2000-08-26,2000-08-26,1,10,214,0,0
Astrocaryum murumuru,astrmu,12,CCA,2000-08-26,2000-08-26,1,10,214,6,0
Astrocaryum murumuru,astrmu,12,CS,2000-08-26,2000-08-26,1,10,214,NA,NA
